Sort,Sort Index,Vocabulary-Japan,Vocab-Furigana,Vocab-English,Audio File,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Reading,Tag,Entry Type
1560,JLPT_Tango_N1_0923-011,あとあと,,later,[sound:JLPT_Tango_N1_0923-011.mp3],,,,,,,,,,,,923.1,N1単語3000_7-5,Additional
1561,JLPT_Tango_N1_0924,成果,,result,[sound:JLPT_Tango_N1_0924.mp3],日々の運動の成果が出てきた。,,The results of the daily exercise are starting to show.,,,,,,,,X,924,N1単語3000_7-5,Main
1562,JLPT_Tango_N1_0925,ひけつ,,secret,[sound:JLPT_Tango_N1_0925.mp3],若さのひけつは、適度な運動だ。,,The secret to youthfullness is moderate exercise.,,,,,,,,X,925,N1単語3000_7-5,Main
1563,JLPT_Tango_N1_0926,生まれつき,,from birth,[sound:JLPT_Tango_N1_0926.mp3],妹は生まれつき目が大きい。,,My younger sister was born with large eyes.,,,,,,,,X,926,N1単語3000_7-5,Main
1564,JLPT_Tango_N1_0926-011,生まれながら,,born with,[sound:JLPT_Tango_N1_0926-011.mp3],,,,,,,,,,,,926.1,N1単語3000_7-5,Additional
1565,JLPT_Tango_N1_0926-012,天性,,natural,[sound:JLPT_Tango_N1_0926-012.mp3],,,,,,,,,,,,926.2,N1単語3000_7-5,Additional
1566,JLPT_Tango_N1_0927,帯びる,,put on,[sound:JLPT_Tango_N1_0927.mp3],最近、少し丸みを帯びてきた。,,I’ve been putting on weigh recently.,,,,,,,,X,927,N1単語3000_7-5,Main
1567,JLPT_Tango_N1_0928,がらっと,,change completely,[sound:JLPT_Tango_N1_0928.mp3],彼女はダイエットして、雰囲気ががらっと変わった。,,She went on a diet and looks very different now.,,,,,,,,X,928,N1単語3000_7-5,Main
1568,JLPT_Tango_N1_0928-011,がらりと,,change completely,[sound:JLPT_Tango_N1_0928-011.mp3],,,,,,,,,,,,928.1,N1単語3000_7-5,Additional
1569,JLPT_Tango_N1_0929,生まれ変わる,,reborn,[sound:JLPT_Tango_N1_0929.mp3],あのタレントはすっかり痩せて、生まれ変わったようだ。,,That talent really lost weight and looks completely different.,,,,,,,,X,929,N1単語3000_7-5,Main
1570,JLPT_Tango_N1_0929-011,生まれ変わり,,rebirth,[sound:JLPT_Tango_N1_0929-011.mp3],,,,,,,,,,,,929.1,N1単語3000_7-5,Additional
1571,JLPT_Tango_N1_0930,反らす,,bend backward,[sound:JLPT_Tango_N1_0930.mp3],体を反らして腹筋を鍛える。,,Work your abdomen by bending yourself backwards.,,,,,,,,X,930,N1単語3000_7-5,Main
1572,JLPT_Tango_N1_0930-011,（が）反る,,bend backward,[sound:JLPT_Tango_N1_0930-011.mp3],,,,,,,,,,,,930.1,N1単語3000_7-5,Additional
1573,JLPT_Tango_N1_0931,引っ込む,,recede,[sound:JLPT_Tango_N1_0931.mp3],腹筋運動を続けたら、おなかが引っ込んだ。,,My tummy became flat after doing sit-ups for a while.,,,,,,,,X,931,N1単語3000_7-5,Main
1574,JLPT_Tango_N1_0931-011,（を）引っ込める,,pull back,[sound:JLPT_Tango_N1_0931-011.mp3],,,,,,,,,,,,931.1,N1単語3000_7-5,Additional
1575,JLPT_Tango_N1_0932,すらりと（する）,,smoothly,[sound:JLPT_Tango_N1_0932.mp3],子どもの頃からすらりとした体つきだった。,,She had a sleek body ever since she was achild.,,,,,,,,X,932,N1単語3000_7-5,Main
1576,JLPT_Tango_N1_0932-011,すらっと（する）,,smoothly,[sound:JLPT_Tango_N1_0932-011.mp3],,,,,,,,,,,,932.1,N1単語3000_7-5,Additional
1577,JLPT_Tango_N1_0932-012,スリムな,,slim,[sound:JLPT_Tango_N1_0932-012.mp3],,,,,,,,,,,,932.2,N1単語3000_7-5,Additional
1578,JLPT_Tango_N1_0933,ほっそり「と」〈する〉,,look thin,[sound:JLPT_Tango_N1_0933.mp3],この雑誌のモデルのようにほっそりしたい。,,I want to look thin like the model in this magazine. ,,,,,,,,X,933,N1単語3000_7-5,Main
1579,JLPT_Tango_N1_0934,コンプレックス,,inferiority complex,[sound:JLPT_Tango_N1_0934.mp3],スタイルのコンプレックスを解消したい。,,I want to get rid of my inferiority complex about my figure.,,,,,,,,X,934,N1単語3000_7-5,Main
1580,JLPT_Tango_N1_0935,油断（する）,,be careless,[sound:JLPT_Tango_N1_0935.mp3],少しやせても、油断するとすぐ太る。,,"Even if I lose weight,I gain it easily if I’m too careless.",,,,,,,,X,935,N1単語3000_7-5,Main
1581,JLPT_Tango_N1_0935-011,油断大敵,,overconfidence can be dangerous,[sound:JLPT_Tango_N1_0935-011.mp3],,,,,,,,,,,,935.1,N1単語3000_7-5,Additional
1582,JLPT_Tango_N1_0936,過剰な,,excess/excessive,[sound:JLPT_Tango_N1_0936.mp3],過剰なダイエットは体によくない。,,Excessive diet is not good for your body.,,,,,,,,X,936,N1単語3000_7-5,Main
1583,JLPT_Tango_N1_0936-011,自信過剰〈な〉,,overconfidence,[sound:JLPT_Tango_N1_0936-011.mp3],,,,,,,,,,,,936.1,N1単語3000_7-5,Additional
1584,JLPT_Tango_N1_0936-012,意識過剰〈な〉,,hyperconsciousness,[sound:JLPT_Tango_N1_0936-012.mp3],,,,,,,,,,,,936.2,N1単語3000_7-5,Additional
1585,JLPT_Tango_N1_0937,老ける,,age ,[sound:JLPT_Tango_N1_0937.mp3],睡眠が不足すると、老けて見える。,,I look old if I don’t get enough sleep.,,,,,,,,X,937,N1単語3000_7-5,Main
1586,JLPT_Tango_N1_0938,執着（する）,,"attached,cling",[sound:JLPT_Tango_N1_0938.mp3],姉は若さに執着している。,,My older sister clings on to youthfullness.,,,,,,,,X,938,N1単語3000_7-5,Main
1587,JLPT_Tango_N1_0939,はげる,,go bald,[sound:JLPT_Tango_N1_0939.mp3],父ははげてきたのを、とても気にしている。,,My father is very concerned about going bald.,,,,,,,,X,939,N1単語3000_7-5,Main
1588,JLPT_Tango_N1_0939-101,尊父,,esteemed father,[sound:JLPT_Tango_N1_0939-101.mp3],,,,,,,,,,,,939-1,N1単語3000_7-5,Supplement
1589,JLPT_Tango_N1_0939-102,尊兄,,esteemed brother,[sound:JLPT_Tango_N1_0939-102.mp3],,,,,,,,,,,,939-2,N1単語3000_7-5,Supplement
1590,JLPT_Tango_N1_0939-103,尊母,,esteemed mother,[sound:JLPT_Tango_N1_0939-103.mp3],,,,,,,,,,,,939-3,N1単語3000_7-5,Supplement
1591,JLPT_Tango_N1_0939-104,尊称,,honorific title,[sound:JLPT_Tango_N1_0939-104.mp3],,,,,,,,,,,,939-4,N1単語3000_7-5,Supplement
1592,JLPT_Tango_N1_0939-105,貴兄,,you (used by men to their male subordinates),[sound:JLPT_Tango_N1_0939-105.mp3],,,,,,,,,,,,939-5,N1単語3000_7-5,Supplement
1593,JLPT_Tango_N1_0939-106,貴殿,,you (used by men to their male equals or superiors),[sound:JLPT_Tango_N1_0939-106.mp3],,,,,,,,,,,,939-6,N1単語3000_7-5,Supplement
1594,JLPT_Tango_N1_0939-107,貴社（＝御社）,,esteemed company,[sound:JLPT_Tango_N1_0939-107.mp3],,,,,,,,,,,,939-7,N1単語3000_7-5,Supplement
1595,JLPT_Tango_N1_0939-108,貴校,,esteemed school,[sound:JLPT_Tango_N1_0939-108.mp3],,,,,,,,,,,,939-8,N1単語3000_7-5,Supplement
1596,JLPT_Tango_N1_0939-109,貴学,,esteemed school,[sound:JLPT_Tango_N1_0939-109.mp3],,,,,,,,,,,,939-9,N1単語3000_7-5,Supplement
1597,JLPT_Tango_N1_0940,挑む,,challenge,[sound:JLPT_Tango_N1_0940.mp3],どんな相手でも全力で挑む,,"I will give it my all, no matter who I’m up against.",,,,,,,,X,940,N1単語3000_8-1,Main
1598,JLPT_Tango_N1_0940-011,挑戦（する）,,challenge,[sound:JLPT_Tango_N1_0940-011.mp3],,,,,,,,,,,,940.1,N1単語3000_8-1,Additional
1599,JLPT_Tango_N1_0941,まとまる,,come together,[sound:JLPT_Tango_N1_0941.mp3],チームが一つにまとまって練習を積む。,,The team came together as one to practice.,,,,,,,,X,941,N1単語3000_8-1,Main
1600,JLPT_Tango_N1_0941-011,団結（する）,,solidarity,[sound:JLPT_Tango_N1_0941-011.mp3],,,,,,,,,,,,941.1,N1単語3000_8-1,Additional
1601,JLPT_Tango_N1_0942,作戦,,strategy,[sound:JLPT_Tango_N1_0942.mp3],試合前に時間をかけて作戦を立てる。,,Take time to plan the strategy before the game.,,,,,,,,X,942,N1単語3000_8-1,Main
1602,JLPT_Tango_N1_0942-011,作戦会議,,strategy meeting,[sound:JLPT_Tango_N1_0942-011.mp3],,,,,,,,,,,,942.1,N1単語3000_8-1,Additional
1603,JLPT_Tango_N1_0943,戦力,,fighting power,[sound:JLPT_Tango_N1_0943.mp3],中心選手がけがをして、大切な戦力を失った。,,We lost an important part of our fighting power when our main player was injured.,,,,,,,,X,943,N1単語3000_8-1,Main
1604,JLPT_Tango_N1_0944,負かす,,beat,[sound:JLPT_Tango_N1_0944.mp3],ライバルを負かして優勝した。,,We beat our rival and won the tournament.,,,,,,,,X,944,N1単語3000_8-1,Main
1605,JLPT_Tango_N1_0945,対抗（する）,,playing against,[sound:JLPT_Tango_N1_0945.mp3],去年の優勝チームに対抗する。,,We will play against last year’s winning team,,,,,,,,X,945,N1単語3000_8-1,Main
1606,JLPT_Tango_N1_0946,獲得（する）,,acquire,[sound:JLPT_Tango_N1_0946.mp3],Aチームは有望な選手を獲得した。,,Team A acquired a promising player.,,,,,,,,X,946,N1単語3000_8-1,Main
1607,JLPT_Tango_N1_0947,圧倒（する）,,overwhelm,[sound:JLPT_Tango_N1_0947.mp3],試合の後半で相手チームのパワーに圧倒された。,,"In the latter half of the game, we were overwhelmed by the power of the  opposing team.",,,,,,,,X,947,N1単語3000_8-1,Main
1608,JLPT_Tango_N1_0948,一挙に,,at once,[sound:JLPT_Tango_N1_0948.mp3],試合の前半で一挙に3点を取られた。,,We lost three points at once in the first half of the game.,,,,,,,,X,948,N1単語3000_8-1,Main
1609,JLPT_Tango_N1_0949,意気込む,,"be enthusiastic,be eager",[sound:JLPT_Tango_N1_0949.mp3],チーム全員、意気込んで試合に臨んだ。,,Everyone on the team eagerly psyched up for the game.,,,,,,,,X,949,N1単語3000_8-1,Main
1610,JLPT_Tango_N1_0949-011,意気込み,,enthusiasm,[sound:JLPT_Tango_N1_0949-011.mp3],,,,,,,,,,,,949.1,N1単語3000_8-1,Additional
1611,JLPT_Tango_N1_0950,無我夢中,,absorption,[sound:JLPT_Tango_N1_0950.mp3],勝利のために無我夢中で練習した。,,I practiced very hard to win.,,,,,,,,X,950,N1単語3000_8-1,Main
1612,JLPT_Tango_N1_0951,負けず嫌いな,,hating to lose;competitive,[sound:JLPT_Tango_N1_0951.mp3],負けず嫌いでなければ、勝負に勝てない。,,You have to be competitive to win in games.,,,,,,,,X,951,N1単語3000_8-1,Main
1613,JLPT_Tango_N1_0951-011,勝ち気（な）,,Strong-minded,[sound:JLPT_Tango_N1_0951-011.mp3],,,,,,,,,,,,951.1,N1単語3000_8-1,Additional
1614,JLPT_Tango_N1_0952,しぶとい,,persistent,[sound:JLPT_Tango_N1_0952.mp3],彼は最後までしぶとく戦った。,,He fought persistently until the end.,,,,,,,,X,952,N1単語3000_8-1,Main
1615,JLPT_Tango_N1_0952-011,粘り強い,,tenacious,[sound:JLPT_Tango_N1_0952-011.mp3],,,,,,,,,,,,952.1,N1単語3000_8-1,Additional
1616,JLPT_Tango_N1_0953,顔つき,,facial expression,[sound:JLPT_Tango_N1_0953.mp3],彼女は試合前になると顔つきが変わる。,,Her expression changes before the game.,,,,,,,,X,953,N1単語3000_8-1,Main
1617,JLPT_Tango_N1_0953-011,目つき,,look,[sound:JLPT_Tango_N1_0953-011.mp3],,,,,,,,,,,,953.1,N1単語3000_8-1,Additional
1618,JLPT_Tango_N1_0954,健闘（する）,,good fight,[sound:JLPT_Tango_N1_0954.mp3],お互いに最後まで健闘した。,,They both fought well until the end.,,,,,,,,X,954,N1単語3000_8-1,Main
1619,JLPT_Tango_N1_0955,手加減（する）,,go easy on someone,[sound:JLPT_Tango_N1_0955.mp3],相手が誰でも、絶対に手加減しない。,,"I will never go easy on the opponent, whoever he or she may be.",,,,,,,,X,955,N1単語3000_8-1,Main
1620,JLPT_Tango_N1_0956,補充（する）,,reinforce,[sound:JLPT_Tango_N1_0956.mp3],負けそうだ。戦力を補充しなければ。,,We’re losing. we need to reinforce our fighting power.,,,,,,,,X,956,N1単語3000_8-1,Main
1621,JLPT_Tango_N1_0957,反則,,foul play,[sound:JLPT_Tango_N1_0957.mp3],相手の選手が反則をした。,,The player in the opposing team commited foul play.,,,,,,,,X,957,N1単語3000_8-1,Main
1622,JLPT_Tango_N1_0957-011,反則負け,,lose by foul play,[sound:JLPT_Tango_N1_0957-011.mp3],,,,,,,,,,,,957.1,N1単語3000_8-1,Additional
1623,JLPT_Tango_N1_0958,抗議（する）,,protest,[sound:JLPT_Tango_N1_0958.mp3],監督が相手チームに抗議した。,,The coach protested against the opposing team.,,,,,,,,X,958,N1単語3000_8-1,Main
1624,JLPT_Tango_N1_0959,喪失（する）,,loss,[sound:JLPT_Tango_N1_0959.mp3],敵が強すぎて、自信を喪失しそうだ。,,The opponent is so strong I’m losing confidence.,,,,,,,,X,959,N1単語3000_8-1,Main
1625,JLPT_Tango_N1_0959-011,自信喪失,,lose confidence,[sound:JLPT_Tango_N1_0959-011.mp3],,,,,,,,,,,,959.1,N1単語3000_8-1,Additional
1626,JLPT_Tango_N1_0960,お手上げ,,give up,[sound:JLPT_Tango_N1_0960.mp3],こんなに点差がついたら、もうお手上げだ。,,"With this huge score difference, I’m about to give up.",,,,,,,,X,960,N1単語3000_8-1,Main
1627,JLPT_Tango_N1_0960-011,降参（する）,,give up,[sound:JLPT_Tango_N1_0960-011.mp3],,,,,,,,,,,,960.1,N1単語3000_8-1,Additional
1628,JLPT_Tango_N1_0960-012,ギブアップ（する）,,give up,[sound:JLPT_Tango_N1_0960-012.mp3],,,,,,,,,,,,960.2,N1単語3000_8-1,Additional
1629,JLPT_Tango_N1_0961,行進（する）,,march,[sound:JLPT_Tango_N1_0961.mp3],選手たちが堂々と行進してきた。,,The students proudly marched in.,,,,,,,,X,961,N1単語3000_8-1,Main
1630,JLPT_Tango_N1_0961-011,入場行進,,entrance march,[sound:JLPT_Tango_N1_0961-011.mp3],,,,,,,,,,,,961.1,N1単語3000_8-1,Additional
1631,JLPT_Tango_N1_0961-012,行進曲,,march,[sound:JLPT_Tango_N1_0961-012.mp3],,,,,,,,,,,,961.2,N1単語3000_8-1,Additional
1632,JLPT_Tango_N1_0962,ポジション,,position,[sound:JLPT_Tango_N1_0962.mp3],監督は適性を見てポジションを決めた。,,The coach decided the postions based on aptitude.,,,,,,,,X,962,N1単語3000_8-1,Main
1633,JLPT_Tango_N1_0962-011,配置,,position,[sound:JLPT_Tango_N1_0962-011.mp3],,,,,,,,,,,,962.1,N1単語3000_8-1,Additional
1634,JLPT_Tango_N1_0963,技,,technique,[sound:JLPT_Tango_N1_0963.mp3],彼は新しい技を次々と身に付けている。,,He is acquiring new techniques one after another.,,,,,,,,X,963,N1単語3000_8-1,Main
1635,JLPT_Tango_N1_0964,屋内,,indoors,[sound:JLPT_Tango_N1_0964.mp3],大雨のため、今日の試合は屋内で行われた。,,Today’s game was held indoors because of the heavy rain.,,,,,,,,X,964,N1単語3000_8-1,Main
1636,JLPT_Tango_N1_0965,観戦（する）,,watching the game,[sound:JLPT_Tango_N1_0965.mp3],多くの人が会場で観戦している。,,Many people are viewing the game at the venue.,,,,,,,,X,965,N1単語3000_8-1,Main
1637,JLPT_Tango_N1_0965-011,サッカー観戦（する）,,soccer viewing,[sound:JLPT_Tango_N1_0965-011.mp3],,,,,,,,,,,,965.1,N1単語3000_8-1,Additional
1638,JLPT_Tango_N1_0966,声援（する）,,cheers,[sound:JLPT_Tango_N1_0966.mp3],会場に声援が響いている。,,The cheers echo in the venue.,,,,,,,,X,966,N1単語3000_8-1,Main
1639,JLPT_Tango_N1_0967,ぼうぜんと（する）,,dumbfounded,[sound:JLPT_Tango_N1_0967.mp3],終了直前に相手に点を入れられ、一同ぼうぜんとした。,,The opponent scored a point just before the game ended and everyone was dumbfounded.,,,,,,,,X,967,N1単語3000_8-1,Main
1640,JLPT_Tango_N1_0967-011,あぜんと（する）,,dumbfounded,[sound:JLPT_Tango_N1_0967-011.mp3],,,,,,,,,,,,967.1,N1単語3000_8-1,Additional
1641,JLPT_Tango_N1_0968,かける,,bet,[sound:JLPT_Tango_N1_0968.mp3],彼は今度の試合に人生をかけている。,,He is betting his life on the next game.,,,,,,,,X,968,N1単語3000_8-1,Main
1642,JLPT_Tango_N1_0969-001,化ける,,become/disguise,[sound:JLPT_Tango_N1_0969-001.mp3],1. このまま努力すれば、彼は一流の選手に化けるだろう。,,① He can become a top player if he continues to make the effort.,,,,,,,,X,969,N1単語3000_8-1,Main
1643,JLPT_Tango_N1_0969-002,化ける,,become/disguise,[sound:JLPT_Tango_N1_0969-002.mp3],2. 犯人は警察官に化けていた。,,② The criminal disguised himself as a policeman. ,,,,,,,,X,969,N1単語3000_8-1,Main
1644,JLPT_Tango_N1_0969-011,（を）化かす,,bewitched,[sound:JLPT_Tango_N1_0969-011.mp3],,,,,,,,,,,,969.1,N1単語3000_8-1,Additional
1645,JLPT_Tango_N1_0970,育成（する）,,nurture,[sound:JLPT_Tango_N1_0970.mp3],コーチは若い選手をじっくり育成している。,,The coach takes the time to nurture young players.,,,,,,,,X,970,N1単語3000_8-1,Main
1646,JLPT_Tango_N1_0971,人知れず,,without people knowing,[sound:JLPT_Tango_N1_0971.mp3],あの選手は人知れず厳しい練習を積んでいる。,,That player is practicing hard where people are not watching.,,,,,,,,X,971,N1単語3000_8-1,Main
1647,JLPT_Tango_N1_0972,実る,,bear fruit,[sound:JLPT_Tango_N1_0972.mp3],とうとう優勝して、今までの努力が実った。,,"All our effort up to this point bore fruit, and we finally won.",,,,,,,,X,972,N1単語3000_8-1,Main
1648,JLPT_Tango_N1_0973,一躍,,in a leap,[sound:JLPT_Tango_N1_0973.mp3],この大会で優勝すれば、彼は一躍スターだ。,,"If he wins in the tournament, he will rise to stardom.",,,,,,,,X,973,N1単語3000_8-1,Main
1649,JLPT_Tango_N1_0974-001,転落（する）,,fall,[sound:JLPT_Tango_N1_0974-001.mp3],1. 今日負けて、彼はランキング一位から転落した。,,① He fell from his top rank with today’s loss,,,,,,,,X,974,N1単語3000_8-1,Main
1650,JLPT_Tango_N1_0974-002,転落（する）,,fall,[sound:JLPT_Tango_N1_0974-002.mp3],2. 駅の階段の上から転落して、大けがをした。,,② He fell from the stairs at the station and injured himself badly.,,,,,,,,X,974,N1単語3000_8-1,Main
1651,JLPT_Tango_N1_0975,栄光,,glory,[sound:JLPT_Tango_N1_0975.mp3],Aチームは勝ち続けて、日本一の栄光に輝いた。,,Team A continued to win and basked in glory as the top team in Japan.,,,,,,,,X,975,N1単語3000_8-1,Main
1652,JLPT_Tango_N1_0975-011,栄冠,,laurels,[sound:JLPT_Tango_N1_0975-011.mp3],,,,,,,,,,,,975.1,N1単語3000_8-1,Additional
1653,JLPT_Tango_N1_0975-012,チャンピオン,,champion,[sound:JLPT_Tango_N1_0975-012.mp3],,,,,,,,,,,,975.2,N1単語3000_8-1,Additional
1654,JLPT_Tango_N1_0976,伝説,,legend,[sound:JLPT_Tango_N1_0976.mp3],彼は伝説のチャンピオンだ。,,He is a legendary champion.,,,,,,,,X,976,N1単語3000_8-1,Main
1655,JLPT_Tango_N1_0977,フォーマルな,,formal,[sound:JLPT_Tango_N1_0977.mp3],フォーマルな服装でパーティーに出席する。,,I will attend the party in formal attire.,,,,,,,,X,977,N1単語3000_8-2,Main
1656,JLPT_Tango_N1_0977-011,カジュアルな,,"informal,casual",[sound:JLPT_Tango_N1_0977-011.mp3],,,,,,,,,,,,977.1,N1単語3000_8-2,Additional
1657,JLPT_Tango_N1_0977-012,正装（する）,,formal attire,[sound:JLPT_Tango_N1_0977-012.mp3],,,,,,,,,,,,977.2,N1単語3000_8-2,Additional
1658,JLPT_Tango_N1_0978,ラフな,,rough,[sound:JLPT_Tango_N1_0978.mp3],彼の服は高級レストランではラフすぎる。,,His clothes are too casual for a high class restaurant.,,,,,,,,X,978,N1単語3000_8-2,Main
1659,JLPT_Tango_N1_0979,着飾る,,dress up,[sound:JLPT_Tango_N1_0979.mp3],たまには着飾って食事に出かけたい。,,Sometimes I want to dress up and go out to eat.,,,,,,,,X,979,N1単語3000_8-2,Main
1660,JLPT_Tango_N1_0980,映える,,go well,[sound:JLPT_Tango_N1_0980.mp3],このドレスには赤いバッグが映える。,,A red bag goes well with this dress.,,,,,,,,X,980,N1単語3000_8-2,Main
1661,JLPT_Tango_N1_0981,引き立てる,,bring out,[sound:JLPT_Tango_N1_0981.mp3],白いシャツが、スカーフを引き立てている。,,The white shirt brings out the scarf.,,,,,,,,X,981,N1単語3000_8-2,Main
1662,JLPT_Tango_N1_0982,粋（な）,,stylish/stylish,[sound:JLPT_Tango_N1_0982.mp3],祖父はおしゃれで、いつも粋な格好をして出かける。,,My granfather is fashionable and always dresses stylishly.,,,,,,,,X,982,N1単語3000_8-2,Main
1663,JLPT_Tango_N1_0982-011,シック（な）,,chic,[sound:JLPT_Tango_N1_0982-011.mp3],,,,,,,,,,,,982.1,N1単語3000_8-2,Additional
1664,JLPT_Tango_N1_0983,気品,,elegance,[sound:JLPT_Tango_N1_0983.mp3],彼女は派手に着飾らず、気品がある。,,She doesn’t dress up flashily and is always elegant.,,,,,,,,X,983,N1単語3000_8-2,Main
1665,JLPT_Tango_N1_0983-011,品格,,dignity,[sound:JLPT_Tango_N1_0983-011.mp3],,,,,,,,,,,,983.1,N1単語3000_8-2,Additional
1666,JLPT_Tango_N1_0984,多様な,,varying,[sound:JLPT_Tango_N1_0984.mp3],日本人は多様なファッションを受け入れている。,,The Japanese people accept various kinds of fashion.,,,,,,,,X,984,N1単語3000_8-2,Main
1667,JLPT_Tango_N1_0984-011,多種多様な,,a wide variety of ,[sound:JLPT_Tango_N1_0984-011.mp3],,,,,,,,,,,,984.1,N1単語3000_8-2,Additional
1668,JLPT_Tango_N1_0984-012,多様化（する）,,diversification,[sound:JLPT_Tango_N1_0984-012.mp3],,,,,,,,,,,,984.2,N1単語3000_8-2,Additional
1669,JLPT_Tango_N1_0985,目ざとい,,quick-eyed,[sound:JLPT_Tango_N1_0985.mp3],おしゃれな物には目ざとい方だ。,,She is quick-eyed when it comes to fashion.,,,,,,,,X,985,N1単語3000_8-2,Main
1670,JLPT_Tango_N1_0986-001,キャッチ（する）,,pick up/catch,[sound:JLPT_Tango_N1_0986-001.mp3],1. ネットでファッション情報をキャッチする。,,① She picks up fashion news from the internet.,,,,,,,,X,986,N1単語3000_8-2,Main
1671,JLPT_Tango_N1_0986-002,キャッチ（する）,,pick up/catch,[sound:JLPT_Tango_N1_0986-002.mp3],2. 高く上がったボールを見事にキャッチした。,,② He made a perfect catch of the ball that flew up high.,,,,,,,,X,986,N1単語3000_8-2,Main
1672,JLPT_Tango_N1_0987,ゲット（する）,,get ,[sound:JLPT_Tango_N1_0987.mp3],ずっと欲しかったバッグをゲットした。,,I finally got the bag I wanted for so long.,,,,,,,,X,987,N1単語3000_8-2,Main
1673,JLPT_Tango_N1_0988,見せびらかす,,show off,[sound:JLPT_Tango_N1_0988.mp3],買ったばかりのバッグを妹に見せびらかした。,,I showed off my new bag to my younger sister.,,,,,,,,X,988,N1単語3000_8-2,Main
1674,JLPT_Tango_N1_0988-011,ひけらかす,,show off,[sound:JLPT_Tango_N1_0988-011.mp3],,,,,,,,,,,,988.1,N1単語3000_8-2,Additional
1675,JLPT_Tango_N1_0989,似通う,,similar,[sound:JLPT_Tango_N1_0989.mp3],私と姉は洋服のセンスが似通っている。,,My elder sister and I have similar taste in clothes.,,,,,,,,X,989,N1単語3000_8-2,Main
1676,JLPT_Tango_N1_0990,今どき,,these days,[sound:JLPT_Tango_N1_0990.mp3],今どきの若者はブランド品はあまり買わない。,,Young people nowadays do not buy brand-name products very much.,,,,,,,,X,990,N1単語3000_8-2,Main
1677,JLPT_Tango_N1_0991,重宝（な/する）,,convenience/convenient,[sound:JLPT_Tango_N1_0991.mp3],シックなジャケットが1枚あると重宝する。,,Having one fancy jacket is convenient.,,,,,,,,X,991,N1単語3000_8-2,Main
1678,JLPT_Tango_N1_0992,露出,,exposed,[sound:JLPT_Tango_N1_0992.mp3],この服は思ったより肌の露出が多い。,,This dress exposes my skin more than I thought.,,,,,,,,X,992,N1単語3000_8-2,Main
1679,JLPT_Tango_N1_0992-011,露出度,,degree of exposure,[sound:JLPT_Tango_N1_0992-011.mp3],,,,,,,,,,,,992.1,N1単語3000_8-2,Additional
1680,JLPT_Tango_N1_0993,念入りな,,careful,[sound:JLPT_Tango_N1_0993.mp3],朝出かける前に、服装を念入りにチェックする。,,I check my clothes carefully before I leave in the morning.,,,,,,,,X,993,N1単語3000_8-2,Main
1681,JLPT_Tango_N1_0993-011,入念な,,careful,[sound:JLPT_Tango_N1_0993-011.mp3],,,,,,,,,,,,993.1,N1単語3000_8-2,Additional
1682,JLPT_Tango_N1_0994-001,淡い,,light-colored/pale,[sound:JLPT_Tango_N1_0994-001.mp3],1. 春には淡い色の服を着たい。,,① I want to wear light-colored clothes in spring,,,,,,,,X,994,N1単語3000_8-2,Main
1683,JLPT_Tango_N1_0994-002,淡い,,light-colored/pale,[sound:JLPT_Tango_N1_0994-002.mp3],2. クラスメートに淡い思いを抱く。,,② I have sweet feelings for my classmate.,,,,,,,,X,994,N1単語3000_8-2,Main
1684,JLPT_Tango_N1_0995-001,タイトな,,tight,[sound:JLPT_Tango_N1_0995-001.mp3],1. このスカートはタイトで動きにくい。,,① This skirt is tight and hard to move in.,,,,,,,,X,995,N1単語3000_8-2,Main
1685,JLPT_Tango_N1_0995-002,タイトな,,tight,[sound:JLPT_Tango_N1_0995-002.mp3],2. 今日はスケジュールがタイトな一日だ。,,② I have a tight schedule today.,,,,,,,,X,995,N1単語3000_8-2,Main
1686,JLPT_Tango_N1_0996,インパクト,,impact,[sound:JLPT_Tango_N1_0996.mp3],妹はインパクトのある服装が好きだ。,,My younger sister likes to wear bold clothes.,,,,,,,,X,996,N1単語3000_8-2,Main
1687,JLPT_Tango_N1_0996-011,ショック,,shock,[sound:JLPT_Tango_N1_0996-011.mp3],,,,,,,,,,,,996.1,N1単語3000_8-2,Additional
1688,JLPT_Tango_N1_0997,際立つ,,markedly,[sound:JLPT_Tango_N1_0997.mp3],パーティーで彼女のドレスが際立ってきれいだった。,,Her dress was markedly beautifull at the party.,,,,,,,,X,997,N1単語3000_8-2,Main
1689,JLPT_Tango_N1_0998,ほどける,,undone,[sound:JLPT_Tango_N1_0998.mp3],リボンがほどけちゃったから、結んで。,,Please tie my ribbon because it became undone.,,,,,,,,X,998,N1単語3000_8-2,Main
1690,JLPT_Tango_N1_0998-011,（を）ほどく,,untangle,[sound:JLPT_Tango_N1_0998-011.mp3],,,,,,,,,,,,998.1,N1単語3000_8-2,Additional
1691,JLPT_Tango_N1_0999,束ねる,,tie together,[sound:JLPT_Tango_N1_0999.mp3],会社では髪を束ねてスーツを着る。,,Tie your hair and wear a suit at the office.,,,,,,,,X,999,N1単語3000_8-2,Main
1692,JLPT_Tango_N1_1000,ほころびる,,become unstitched,[sound:JLPT_Tango_N1_1000.mp3],コートの袖がほころびてしまった。,,The coat hem became unstitched.  ,,,,,,,,X,1000,N1単語3000_8-2,Main
