Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N3_0581,寮,寮[りょう],dorm,[sound:JLPT_Tango_N3_0581.mp3],だいがくの寮が空いていれば、ぜひ入りたい。,だいがくの 寮[りょう]が 空[あ]いていれば、ぜひ 入[はい]りたい。,"If the university's dorm has any openings, I would definitely like to get a room.",,,,,,Ch 05 - 勉強しよう！,Sect 03 - 日本の大学,X
JLPT_Tango_N3_0582,休学＜する＞,休学[きゅうがく]＜する＞,taking time off from school,[sound:JLPT_Tango_N3_0582.mp3],海外留学するために、２年間休学することにした。,海外[かいがい] 留学[りゅうがく]するために、２ 年間[ねんかん] 休学[きゅうがく]することにした。,I decided to take off two years from school to study abroad.,,,,,,Ch 05 - 勉強しよう！,Sect 03 - 日本の大学,X
JLPT_Tango_N3_0583,退学＜する＞,退学[たいがく]＜する＞,"leaving school, dropping out",[sound:JLPT_Tango_N3_0583.mp3],経済的な理由で退学した。,経済[けいざい] 的[てき]な 理由[りゆう]で 退学[たいがく]した。,I quit school for financial reasons.,,,,,,Ch 05 - 勉強しよう！,Sect 03 - 日本の大学,X
JLPT_Tango_N3_0584,受験＜する＞,受験[じゅけん]＜する＞,taking a test,[sound:JLPT_Tango_N3_0584.mp3],受験のために、毎日１０時間勉強している。,受験[じゅけん]のために、 毎日[まいにち]１０ 時間[じかん] 勉強[べんきょう]している。,I have been studying 10 hours a day for the test.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0584-005,（試験を）受ける,（ 試験[しけん]を） 受[う]ける,to take (a test),[sound:JLPT_Tango_N3_0584-005.mp3],,,,,,,,related or similar to 受験＜する＞,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0585,受験生,受験生[じゅけんせい],test taker,[sound:JLPT_Tango_N3_0585.mp3],妹が受験生なので、家族で応援している。,妹[いもうと]が 受験生[じゅけんせい]なので、 家族[かぞく]で 応援[おうえん]している。,"My younger sister is studying for her college entrance exams, so we are cheering for her as a family.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0586,合格＜する＞,合格[ごうかく]＜する＞,passing,[sound:JLPT_Tango_N3_0586.mp3],毎日がんばったのだから、ぜひ合格したい。,毎日[まいにち]がんばったのだから、ぜひ 合格[ごうかく]したい。,"I worked hard every day, so I really want to pass.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0586-005,（試験に）受かる,（ 試験[しけん]に） 受[う]かる,to pass (a test),[sound:JLPT_Tango_N3_0586-005.mp3],,,,,,,,related or similar to 合格＜する＞,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0587,配る,配[くば]る,"to distribute, to hand out",[sound:JLPT_Tango_N3_0587.mp3],試験の説明のあとで、問題が配られた。,試験[しけん]の 説明[せつめい]のあとで、 問題[もんだい]が 配[くば]られた。,"After the explanation for the test, the questions were distributed.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0588,氏名,氏名[しめい],full name,[sound:JLPT_Tango_N3_0588.mp3],氏名のところに、ローマ字で名前を書く。,氏名[しめい]のところに、 ローマ字[ろーまじ]で 名前[なまえ]を 書[か]く。,Write your name in Roman characters in the name box.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0589,裏返す,裏返[うらがえ]す,to turn over,[sound:JLPT_Tango_N3_0589.mp3],時間になるまで、問題の紙を裏返しておいてください。,時間[じかん]になるまで、 問題[もんだい]の 紙[かみ]を 裏返[うらがえ]しておいてください。,Please keep your answer sheet turned over until it is time.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0589-005,裏返し,裏返[うらがえ]し,turning over,[sound:JLPT_Tango_N3_0589-005.mp3],,,,,,,,related or similar to 裏返す,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0590,問い,問[と]い,question,[sound:JLPT_Tango_N3_0590.mp3],問いをよく読んでから、答えましょう。,問[と]いをよく 読[よ]んでから、 答[こた]えましょう。,Read the questions carefully before answering.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0590-005,問う,問[と]う,"to question, to ask",[sound:JLPT_Tango_N3_0590-005.mp3],,,,,,,,related or similar to 問い,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0591,解く,解[と]く,to solve,[sound:JLPT_Tango_N3_0591.mp3],どんどん問題を解いていく。,どんどん 問題[もんだい]を 解[と]いていく。,I solve the questions one after the other.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0592,正解＜する＞,正解[せいかい]＜する＞,correct answer,[sound:JLPT_Tango_N3_0592.mp3],試験が終わったら、正解の紙を配ります。,試験[しけん]が 終[お]わったら、 正解[せいかい]の 紙[かみ]を 配[くば]ります。,"Once the test is over, a sheet with the correct answers will be handed out.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0592-005,正答＜する＞,正答[せいとう]＜する＞,correct answer,[sound:JLPT_Tango_N3_0592-005.mp3],,,,,,,,same meaning as 正解＜する＞,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0593,正確＜な＞,正確[せいかく]＜な＞,accuracy,[sound:JLPT_Tango_N3_0593.mp3],漢字は正確に書いてください。,漢字[かんじ]は 正確[せいかく]に 書[か]いてください。,Please write kanji neatly.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0594,すらすら【と】,すらすら【と】,smoothly,[sound:JLPT_Tango_N3_0594.mp3],問題が簡単なので、すらすらと解けた。,問題[もんだい]が 簡単[かんたん]なので、すらすらと 解[と]けた。,"The questions were easy, so I solved them smoothly.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0595,ちっとも,ちっとも,not at all,[sound:JLPT_Tango_N3_0595.mp3],何度問題を読んでも、ちっともわからない。,何[なん] 度[ど] 問題[もんだい]を 読[よ]んでも、ちっともわからない。,"No matter how many times I read the question, I don't understand it at all.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0596,カンニング＜する＞,カンニング＜する＞,cheating,[sound:JLPT_Tango_N3_0596.mp3],カンニングをした学生が注意された。,カンニングをした 学生[がくせい]が 注意[ちゅうい]された。,The student who cheated was warned.,カンニング-cunning,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0597-001,ギリギリ＜な＞,ギリギリ＜な＞,barely,[sound:JLPT_Tango_N3_0597-001.mp3],①　これが合格ぎりぎりの点だった。,①　これが 合格[ごうかく]ぎりぎりの 点[てん]だった。,①　This was just barely a passing score.,ぎりぎり,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0597-002,ギリギリ＜な＞,ギリギリ＜な＞,barely,[sound:JLPT_Tango_N3_0597-002.mp3],②　試験の時間ぎりぎりに間に合った。,②　 試験[しけん]の 時間[じかん]ぎりぎりに 間に合[まにあ]った。,②　I just barely made it to the exam on time.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0598,余る,余[あま]る,"to remain, to be left over",[sound:JLPT_Tango_N3_0598.mp3],問題が早く解けたので、時間が余った。,問題[もんだい]が 早[はや]く 解[と]けたので、 時間[じかん]が 余[あま]った。,"I solved the questions quickly, so I had some time left over.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0599-001,適当な,適当[てきとう]な,"appropriate, suitable",[sound:JLPT_Tango_N3_0599-001.mp3],①　４つの中から、適当な答えを１つ選びなさい。,①　４[よっ]つの 中[なか]から、 適当[てきとう]な 答[こた]えを １[ひと]つ 選[えら]びなさい。,①　Please select the most appropriate answer from these four.,,,,,① just right 　,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0599-002,適当な,適当[てきとう]な,"appropriate, suitable",[sound:JLPT_Tango_N3_0599-002.mp3],②　彼の仕事は、いつも適当で、みんな怒っている。,②　 彼[かれ]の 仕事[しごと]は、いつも 適当[てきとう]で、みんな 怒[おこ]っている。,"②　His work is always so sloppy, it makes everyone mad.",,,,,② sloppy,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0600,でたらめ＜な＞,でたらめ＜な＞,"nonsense, haphazard, random",[sound:JLPT_Tango_N3_0600.mp3],全然わからないので、でたらめな答えを書いた。,全然[ぜんぜん]わからないので、でたらめな 答[こた]えを 書[か]いた。,"I didn't understand it at all, so I wrote a random answer.",出鱈目,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0601,間違い,間違[まちが]い,mistake,[sound:JLPT_Tango_N3_0601.mp3],試験の問題に間違いがあった。,試験[しけん]の 問題[もんだい]に 間違[まちが]いがあった。,There was a mistake in a question on the exam.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0601-005,間違える,間違[まちが]える,to mistake,[sound:JLPT_Tango_N3_0601-005.mp3],,,,,,,,related or similar to 間違い,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0601-006,間違う,間違[まちが]う,to make a mistake,[sound:JLPT_Tango_N3_0601-006.mp3],,,,,,,,related or similar to 間違い,Ch 05 - 勉強しよう！,Sect 04 - 試験,
JLPT_Tango_N3_0602,優れる,優[すぐ]れる,"to surpass, to excel",[sound:JLPT_Tango_N3_0602.mp3],彼女は学力が優れている。,彼女[かのじょ]は 学力[がくりょく]が 優[すぐ]れている。,She has excellent academic ability.,,,,,Used as 優れている and 優れた,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0603,実力,実力[じつりょく],"real ability, actual ability",[sound:JLPT_Tango_N3_0603.mp3],試験で、１００パーセント実力を出すのは難しい。,試験[しけん]で、１００[ひゃく]パーセント 実力[じつりょく]を 出[だ]すのは 難[むずか]しい。,It's difficult to use 100 percent of your abilities on tests.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0604,結果,結果[けっか],result,[sound:JLPT_Tango_N3_0604.mp3],早く結果を知りたいが、知るのが怖い。,早[はや]く 結果[けっか]を 知[し]りたいが、 知[し]るのが 怖[こわ]い。,"I want to find out the results soon, but I'm also afraid.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0605,少数。,少数[しょうすう]。,small amount,[sound:JLPT_Tango_N3_0605.mp3],この試験は少数の人しか合格しない。,この 試験[しけん]は 少数[しょうすう]の 人[ひと]しか 合格[ごうかく]しない。,Only a few people will pass this test.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0606,可能性,可能[かのう] 性[せい],possibility,[sound:JLPT_Tango_N3_0606.mp3],自分が大学に受かる可能性を信じたい。,自分[じぶん]が 大学[だいがく]に 受[う]かる 可能[かのう] 性[せい]を 信[しん]じたい。,I want to believe that there is a chance that I can get in to an university.,,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0607,あきらめる,あきらめる,to give up,[sound:JLPT_Tango_N3_0607.mp3],どんな結果でも、あきらめない。,どんな 結果[けっか]でも、あきらめない。,"No matter the results, don't give up.",,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0608,掲示板,掲示板[けいじばん],bulletin board,[sound:JLPT_Tango_N3_0608.mp3],掲示板に、試験のお知らせがはってある。,掲示板[けいじばん]に、 試験[しけん]のお 知[し]らせがはってある。,News about the exam is posted on the bulletin board.,掲示,,,,,Ch 05 - 勉強しよう！,Sect 04 - 試験,X
JLPT_Tango_N3_0609,知識,知識[ちしき],knowledge,[sound:JLPT_Tango_N3_0609.mp3],もっといろいろな知識を増やしたい。,もっといろいろな 知識[ちしき]を 増[ふ]やしたい。,I want to increase my knowledge of various things.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0610,理解＜する＞,理解[りかい]＜する＞,understanding,[sound:JLPT_Tango_N3_0610.mp3],前より早く日本語が理解できるようになった。,前[まえ]より 早[はや]く 日本語[にほんご]が 理解[りかい]できるようになった。,I'm able to understand Japanese faster than before.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0611,目指す,目指[めざ]す,"to aim for, to head for",[sound:JLPT_Tango_N3_0611.mp3],N3合格を目指して毎日がんばっている。,N 3 合格[ごうかく]を 目指[めざ]して 毎日[まいにち]がんばっている。,I work hard every day aiming to pass the N3 exam.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0612,試す,試[ため]す,"to test, to try",[sound:JLPT_Tango_N3_0612.mp3],練習問題で自分の実力を試してみよう。,練習[れんしゅう] 問題[もんだい]で 自分[じぶん]の 実力[じつりょく]を 試[ため]してみよう。,Let's test our actual abilities using practice exercises.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0613,自信,自信[じしん],self confidence,[sound:JLPT_Tango_N3_0613.mp3],日本語の日常会話に自信がある。,日本語[にほんご]の 日常[にちじょう] 会話[かいわ]に 自信[じしん]がある。,I'm confident in my ability to hold a daily conversation in Japanese.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0614,やる気,やる 気[き],motivation,[sound:JLPT_Tango_N3_0614.mp3],やる気はあるが、なかなか集中できない。,やる 気[き]はあるが、なかなか 集中[しゅうちゅう]できない。,"I want to do it, but I just can't focus.",遣る気,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0615,くやしい,くやしい,"annoying, vexing",[sound:JLPT_Tango_N3_0615.mp3],９４点で不合格だった。とてもくやしい。,９４[きゅうじゅうよん] 点[てん]で 不[ふ] 合格[ごうかく]だった。とてもくやしい。,I was 94 points away from passing. I'm so annoyed.,悔しい,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0616,レベル,レベル,level,[sound:JLPT_Tango_N3_0616.mp3],早くN１レベルの勉強をしたい。,早[はや]く N１レベルの 勉強[べんきょう]をしたい。,I want to study the N1 level soon.,レベル-level,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0616-005,生活レベル,生活[せいかつ]レベル,living standard,[sound:JLPT_Tango_N3_0616-005.mp3],,,,,,,,related or similar to レベル,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,
JLPT_Tango_N3_0617,利口＜な＞,利口[りこう]＜な＞,clever,[sound:JLPT_Tango_N3_0617.mp3],弟は利口で、医者になることを目指している。,弟[おとうと]は 利口[りこう]で、 医者[いしゃ]になることを 目指[めざ]している。,My younger brother is clever and hopes to become a doctor.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0617-005,ばか＜な＞,ばか＜な＞,"fool, idiot",[sound:JLPT_Tango_N3_0617-005.mp3],,,,馬鹿,,,,opposite meaning of 利口＜な＞,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,
JLPT_Tango_N3_0618,さっそく,さっそく,"at once, without delay",[sound:JLPT_Tango_N3_0618.mp3],勉強した単語を、さっそく使ってみる。,勉強[べんきょう]した 単語[たんご]を、さっそく 使[つか]ってみる。,I'm going to try to use the words I just studied.,早速,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0619,ざっと,ざっと,roughly,[sound:JLPT_Tango_N3_0619.mp3],テスト前に教科書をざっと復習した。,テスト 前[まえ]に 教科書[きょうかしょ]をざっと 復習[ふくしゅう]した。,I did a rough review with my textbook before the test.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0620,しっかり【と】＜する＞,しっかり【と】＜する＞,"properly, correctly",[sound:JLPT_Tango_N3_0620.mp3],彼は毎日しっかり予習も復習もしている。,彼[かれ]は 毎日[まいにち]しっかり 予習[よしゅう]も 復習[ふくしゅう]もしている。,He studies and reviews thoroughly every day.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0621,じっくり【と】,じっくり【と】,"carefully, thoroughly",[sound:JLPT_Tango_N3_0621.mp3],時間はあるので、じっくりと解いてください。,時間[じかん]はあるので、じっくりと 解[と]いてください。,"You have some time, so please solve them carefully.",,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0622,相当＜な＞,相当[そうとう]＜な＞,"extremely, considerably",[sound:JLPT_Tango_N3_0622.mp3],今日のテストは、相当難しかった。,今日[きょう]のテストは、 相当[そうとう] 難[むずか]しかった。,Today's test was extremely difficult.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0623,まあまあ＜な＞,まあまあ＜な＞,so-so,[sound:JLPT_Tango_N3_0623.mp3],この問題で８０点なら、まあまあだろ。,この 問題[もんだい]で８０[はちじゅっ] 点[てん]なら、まあまあだろ。,An 80 on this test is so-so.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0624,努力＜する＞,努力[どりょく]＜する＞,effort,[sound:JLPT_Tango_N3_0624.mp3],努力すれば、きっといい結果になる。,努力[どりょく]すれば、きっといい 結果[けっか]になる。,"If you make an effort, I'm sure the results will be good.",,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0625,なまける,なまける,"to be idle, to slack off",[sound:JLPT_Tango_N3_0625.mp3],昨日の夜なまけたので、テストの点が悪かった。,昨日[きのう]の 夜[よる]なまけたので、テストの 点[てん]が 悪[わる]かった。,"I slacked off last night, so I got a bad score on this test.",怠ける,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0625-005,なまけ者,なまけ 者[もの],slacker,[sound:JLPT_Tango_N3_0625-005.mp3],,,,懶け者,,,,related or similar to なまける,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,
JLPT_Tango_N3_0626,得意な,得意[とくい]な,"good at, skillful",[sound:JLPT_Tango_N3_0626.mp3],努力したので、会話も得意になった。,努力[どりょく]したので、 会話[かいわ]も 得意[とくい]になった。,"I worked hard, so I've become good at even conversation.",得意,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0627,苦手な,苦手[にがて]な,"unskillful, not good at",[sound:JLPT_Tango_N3_0627.mp3],苦手な科目は作文だ。,苦手[にがて]な 科目[かもく]は 作文[さくぶん]だ。,Essay writing is my weakest subject.,苦手,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0628,マスター＜する＞,マスター＜する＞,mastery,[sound:JLPT_Tango_N3_0628.mp3],外国語をマスターするのは大変だ。,外国[がいこく] 語[ご]をマスターするのは 大変[たいへん]だ。,It's hard to master foreign languages.,マスター-master,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0629,問い合わせる,問い合[といあ]わせる,to inquire,[sound:JLPT_Tango_N3_0629.mp3],日本語能力試験について、電話で問い合わせた。,日本語[にほんご] 能力[のうりょく] 試験[しけん]について、 電話[でんわ]で 問い合[といあ]わせた。,I inquired about the JLPT over the phone.,,,,,,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,X
JLPT_Tango_N3_0629-005,問い合わせ,問い合[といあ]わせ,inquiry,[sound:JLPT_Tango_N3_0629-005.mp3],,,,,,,,related or similar to 問い合わせる,Ch 05 - 勉強しよう！,Sect 05 - もっと頑張れ,
JLPT_Tango_N3_0629-101,だから,だから,Therefore,[sound:JLPT_Tango_N3_0629-101.mp3],,,,,,,,理由　だから　結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-102,それで,それで,Then,[sound:JLPT_Tango_N3_0629-102.mp3],,,,,,,,理由　それで　結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-103,ですから,ですから,Because,[sound:JLPT_Tango_N3_0629-103.mp3],,,,,,,,理由　ですから　結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-104,そのため,そのため,Therefore,[sound:JLPT_Tango_N3_0629-104.mp3],,,,,,,,理由　そのため　結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-105,したがって,したがって,Accordingly,[sound:JLPT_Tango_N3_0629-105.mp3],,,,,,,,理由　したがって　結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-106,だって,だって,It was said,[sound:JLPT_Tango_N3_0629-106.mp3],,,,,,,,結果　だって　理由,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-107,なぜなら,なぜなら,Because,[sound:JLPT_Tango_N3_0629-107.mp3],,,,,,,,結果　なぜなら　理由,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-108,なぜかというと,なぜかというと,For the reason being,[sound:JLPT_Tango_N3_0629-108.mp3],,,,,,,,結果　なぜかというと　理由,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-109,というのは,というのは,Which means,[sound:JLPT_Tango_N3_0629-109.mp3],,,,,,,,結果　というのは　理由,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-110,というのも,というのも,Which also means,[sound:JLPT_Tango_N3_0629-110.mp3],,,,,,,,結果　というのも　理由,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-111,じゃ,じゃ,Then,[sound:JLPT_Tango_N3_0629-111.mp3],,,,,,,,状況・理由　じゃ　提案,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-112,それじゃ,それじゃ,Well then,[sound:JLPT_Tango_N3_0629-112.mp3],,,,,,,,状況・理由　それじゃ　提案,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-113,だったら,だったら,"If that's the case, then",[sound:JLPT_Tango_N3_0629-113.mp3],,,,,,,,状況・理由　だったら　提案,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-114,それなら,それなら,In that case,[sound:JLPT_Tango_N3_0629-114.mp3],,,,,,,,状況・理由　それなら　提案,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-115,それでは,それでは,Then,[sound:JLPT_Tango_N3_0629-115.mp3],,,,,,,,状況・理由　それでは　提案,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-116,しかも,しかも,Moreover,[sound:JLPT_Tango_N3_0629-116.mp3],,,,然も,,,,A+ しかも　B,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-117,そのうえ,そのうえ,Furthermore,[sound:JLPT_Tango_N3_0629-117.mp3],,,,,,,,A+　そのうえ　B,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-118,つまり,つまり,In other words,[sound:JLPT_Tango_N3_0629-118.mp3],,,,詰まり,,,,A　つまり　Aの要約,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-119,要するに,要[よう]するに,In a word,[sound:JLPT_Tango_N3_0629-119.mp3],,,,要する,,,,A　要するに　Aの要約,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-120,でも,でも,But,[sound:JLPT_Tango_N3_0629-120.mp3],,,,,,,,状況　でも　予想とは違う結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-121,だけど,だけど,However,[sound:JLPT_Tango_N3_0629-121.mp3],,,,けれど,,,,状況　だけど　予想とは違う結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-122,けれども,けれども,However,[sound:JLPT_Tango_N3_0629-122.mp3],,,,,,,,状況　けれども　予想とは違う結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-123,ところが,ところが,However,[sound:JLPT_Tango_N3_0629-123.mp3],,,,,,,,状況　ところが　予想とは違う結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-124,しかし,しかし,But,[sound:JLPT_Tango_N3_0629-124.mp3],,,,然し,,,,状況　しかし　予想とは違う結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-125,だが,だが,But,[sound:JLPT_Tango_N3_0629-125.mp3],,,,,,,,状況　だが　予想とは違う結果,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-126,ただ,ただ,But,[sound:JLPT_Tango_N3_0629-126.mp3],,,,,,,,A　ただ　Aの条件・例外,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-127,ただし,ただし,But,[sound:JLPT_Tango_N3_0629-127.mp3],,,,但し,,,,A　ただし　Aの条件・例外,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0629-128,または,または,Or,[sound:JLPT_Tango_N3_0629-128.mp3],,,,,,,,A　または　Aとは別の選択; それとも is used in interrogative sentences,Ch 05 - 勉強しよう！,Sect 06 - 接続詞,
JLPT_Tango_N3_0630,企業,企業[きぎょう],industry,[sound:JLPT_Tango_N3_0630.mp3],興味がある企業が、いくつかある。,興味[きょうみ]がある 企業[きぎょう]が、いくつかある。,I'm interested in several enterprises.,,,,,,Ch 06 - 仕事,Sect 01 - 就職,X
JLPT_Tango_N3_0631,ホームページ,ホームページ,"homepage, website",[sound:JLPT_Tango_N3_0631.mp3],行きたい会社のホームページをチェックする。,行[い]きたい 会社[かいしゃ]のホームページをチェックする。,I'll check the homepage of the company I want to go to.,,,,,,Ch 06 - 仕事,Sect 01 - 就職,X
JLPT_Tango_N3_0631-005,ウェブページ,ウェブページ,webpage,[sound:JLPT_Tango_N3_0631-005.mp3],,,,ウェブ-web,,,,related or similar to ホームページ,Ch 06 - 仕事,Sect 01 - 就職,
JLPT_Tango_N3_0631-006,ウェブサイト,ウェブサイト,website,[sound:JLPT_Tango_N3_0631-006.mp3],,,,ウェブサイト-website,,,,related or similar to ホームページ,Ch 06 - 仕事,Sect 01 - 就職,
JLPT_Tango_N3_0632,条件,条件[じょうけん],condition,[sound:JLPT_Tango_N3_0632.mp3],就職の条件は、企業によって違う。,就職[しゅうしょく]の 条件[じょうけん]は、 企業[きぎょう]によって 違[ちが]う。,Conditions of employment are different depending on the enterprise.,,,,,,Ch 06 - 仕事,Sect 01 - 就職,X
JLPT_Tango_N3_0633,募集＜する＞,募集[ぼしゅう]＜する＞,"recruiting, taking applications",[sound:JLPT_Tango_N3_0633.mp3],サイトを見て、募集の条件を確認した。,サイトを 見[み]て、 募集[ぼしゅう]の 条件[じょうけん]を 確認[かくにん]した。,I looked at the site and confirmed the conditions of applying.,,,,,,Ch 06 - 仕事,Sect 01 - 就職,X
